# phase, delay (s), error (s)
2.000000000000000111e-01,5.467105659539570617e+00,5.000000000000000000e-01
4.000000000000000222e-01,1.076867339721926520e+01,5.000000000000000000e-01
5.000000000000000000e-01,1.245111201194547768e+01,5.000000000000000000e-01
5.999999999999999778e-01,1.136425107663647438e+01,5.000000000000000000e-01
8.000000000000000444e-01,4.435219598654679629e+00,5.000000000000000000e-01
