# phase, delay (s), error (s)
2.000000000000000111e-01,4.229466157648420932e+00,5.000000000000000000e-01
2.999999999999999889e-01,7.856013013041160065e+00,5.000000000000000000e-01
4.000000000000000222e-01,1.087055460134700624e+01,5.000000000000000000e-01
5.000000000000000000e-01,1.212723901690720574e+01,5.000000000000000000e-01
5.999999999999999778e-01,1.015426442921287808e+01,5.000000000000000000e-01
6.999999999999999556e-01,8.471596189411828348e+00,5.000000000000000000e-01
8.000000000000000444e-01,4.092959127583543300e+00,5.000000000000000000e-01
