# phase, delay (s), error (s)
2.000000000000000111e-01,4.737022008781057281e+00,4.000000000000000222e-01
2.999999999999999889e-01,8.166764205053205217e+00,4.000000000000000222e-01
4.000000000000000222e-01,1.103600650549439166e+01,4.000000000000000222e-01
5.000000000000000000e-01,1.211708293877832254e+01,4.000000000000000222e-01
5.999999999999999778e-01,1.102811802434374222e+01,4.000000000000000222e-01
6.999999999999999556e-01,8.159403124008104413e+00,4.000000000000000222e-01
8.000000000000000444e-01,4.731580755345315303e+00,4.000000000000000222e-01
