# phase, delay (s), error (s)
2.000000000000000111e-01,4.826424974388622502e+00,4.000000000000000222e-01
2.999999999999999889e-01,8.014111747867653790e+00,4.000000000000000222e-01
4.000000000000000222e-01,1.098798548420269050e+01,4.000000000000000222e-01
5.000000000000000000e-01,1.221830859406050607e+01,4.000000000000000222e-01
5.999999999999999778e-01,1.074675336985899676e+01,4.000000000000000222e-01
6.999999999999999556e-01,8.221506426406394397e+00,4.000000000000000222e-01
8.000000000000000444e-01,4.557791277682039066e+00,4.000000000000000222e-01
