# phase, delay (s), error (s)
2.000000000000000111e-01,4.471031692850196748e+00,4.000000000000000222e-01
4.000000000000000222e-01,1.058592683812340063e+01,4.000000000000000222e-01
5.000000000000000000e-01,1.267206986255987822e+01,4.000000000000000222e-01
5.999999999999999778e-01,1.112770603719115847e+01,4.000000000000000222e-01
8.000000000000000444e-01,4.699673276333488303e+00,4.000000000000000222e-01
