# phase, delay (s), error (s)
2.000000000000000111e-01,4.729739597777482984e+00,5.000000000000000000e-01
2.999999999999999889e-01,8.124848916439940893e+00,5.000000000000000000e-01
4.000000000000000222e-01,1.114954898972436048e+01,5.000000000000000000e-01
5.000000000000000000e-01,1.225361385913558543e+01,5.000000000000000000e-01
5.999999999999999778e-01,1.163204189052269832e+01,5.000000000000000000e-01
6.999999999999999556e-01,7.722949628536348143e+00,5.000000000000000000e-01
8.000000000000000444e-01,4.615070228221431314e+00,5.000000000000000000e-01
