# phase, delay (s), error (s)
2.000000000000000111e-01,4.735108145809860503e+00,4.000000000000000222e-01
2.999999999999999889e-01,8.162587636274663438e+00,4.000000000000000222e-01
4.000000000000000222e-01,1.102512617349611901e+01,4.000000000000000222e-01
5.000000000000000000e-01,1.212931108481153863e+01,4.000000000000000222e-01
5.999999999999999778e-01,1.103319463159235170e+01,4.000000000000000222e-01
6.999999999999999556e-01,8.158855643297405535e+00,4.000000000000000222e-01
8.000000000000000444e-01,4.732358667742692759e+00,4.000000000000000222e-01
