i1,q1,i2,q2
19.5,1,32.4,1
22.7,0.777,38.9,0.753
28.2,0.55,46.8,0.589
39.3,0.359,59.5,0.459
54.3,0.265,75.7,0.386
777.7,0.21,90,0.369
