# phase, delay (s), error (s)
2.000000000000000111e-01,4.932242874052533921e+00,4.000000000000000222e-01
2.999999999999999889e-01,7.941789349869742054e+00,4.000000000000000222e-01
4.000000000000000222e-01,1.115123208837008484e+01,4.000000000000000222e-01
5.000000000000000000e-01,1.239110773882119965e+01,4.000000000000000222e-01
5.999999999999999778e-01,1.135984384065709740e+01,4.000000000000000222e-01
6.999999999999999556e-01,8.210555621651890235e+00,4.000000000000000222e-01
8.000000000000000444e-01,4.540340264513407220e+00,4.000000000000000222e-01
