# phase, delay (s), error (s)
2.200000000000000011e-01,1.800000000000000044e+00,1.499999999999999944e-01
5.699999999999999512e-01,4.400000000000000355e+00,1.499999999999999944e-01
8.499999999999999778e-01,8.499999999999999778e-01,1.499999999999999944e-01
