# phase, delay (s), error (s)
2.000000000000000111e-01,4.660109741416077256e+00,4.000000000000000222e-01
2.999999999999999889e-01,8.378064941311777147e+00,4.000000000000000222e-01
4.000000000000000222e-01,1.136708736523676677e+01,4.000000000000000222e-01
5.000000000000000000e-01,1.194277919648423314e+01,4.000000000000000222e-01
5.999999999999999778e-01,1.037312109125510595e+01,4.000000000000000222e-01
6.999999999999999556e-01,8.218835008908573769e+00,4.000000000000000222e-01
8.000000000000000444e-01,4.643519854486907406e+00,4.000000000000000222e-01
